２．うわさ話など

話し手
　Ａ　武田　ふさ　　女　明治32年　富山村生れ
　Ｂ　田辺　正一　　男　明治34年　富山村生れ
　Ｃ　堤　　ふじよ　女　明治39年　富山村生れ
〈Ｙ　山口　幸洋　　男　昭和11年　静岡県新居町生れ〉

0335113|Ｙ|エーワ　ウター　キキナカ゜ラ　ネリャー　ネー　ウターキキナカ゜ラ　ネリャー　ソンナ　ゴショーラクッチューカ　キモチカ゜エーワネー|良いね　歌を　聞きながら　寝れば　ね　歌をききながら　寝れば　そんな　後生楽っていうか　気持が良いね
0335202|Ｃ|キモチカ゜　イーモノ　ナンニモ　ホカノコト　カンカ゜エンラ|気持が　良いもの　何にも　ほかのこと　考えないでしょう
0335203|Ｂ|ソーソーソー　ソレデイーダイネ|そうそうそう　それで良いんだよ
0335204|Ｃ|ソレシカ　カンカ゜エンダ|それしか　考えないので
0335205|Ｂ|ソーソーソー　ソレデ　イーワイネ|そうそう　それで　良いよ
0335206|Ｃ|ジブンワ　イーワイネ　ソースルト　パット　アサネ　メカ゜アク　ハイ　ナンショ　ゴジハンニャー　メカ゜アクネ　イマノトコ　チョット　ネムクナッタネ|自分は　良いよ　そうすると　パット　朝ね　目があく　もう　とにかく　五時半には　目があくね　今の所　ちょっと　眠くなったね
0335209|Ｙ|ソレデ　ダレノ　ウタカ゜　スキダン　イマワ　イマノシトワ|それで　誰の　歌が　好きなの？今は　今の人は
0335210|Ｃ|エッヘッヘ　ジュンニ　カッテキテ　クレルモンダイネー　アノ　ニシカワミネコノ　ウター　イマー　イートモッテ　キクダン　ソンナニ　アノ　ウマカー　ウタヤヘンニ|えっへっへ　順に　買ってきて　くれるのでね　あの　西川峰子の　歌を　今は　良いと思って　きくのだけど　そんなに　あの　うまくは　歌いはしないよ
0335213|Ｂ|ソリャー　ソーダイ|それは　そうだよ
0335301|Ｙ|ソリャー　アノシトラミタイナ　ワケニ　イカンケドネ|そりゃあ　あの人達みたいな　わけに　いかないけどね
0335302|Ｃ|トッテモ　ウタヤシンニ　ソリャ　ショーバイニネー　ソレー　ツイチャー　ウタットリャー　アノ　ウタウワネ　オモシロイナー　トモッテ　キクダケノコトデ|とっても　歌いはしないよ　そりゃ　商売にね〔する人とはね〕　それに　ついて　歌っておれば　あの　歌うよ　面白いなあ　と思って　きくだけのことで
0335305|Ａ|ソーダソーダ　オモシレーナートモッテ　ホント　キクダケ|そうだそうだ　おもしろいなと思って　本当に　きくだけだ
0335306|Ｃ|キクダケヨ|きくだけだよ
9335307|Ｙ|テレビノ　アノ　エヌエイチケーノネ　ノドジマンオ　ミトル　オヒルニ　ヤルノー|テレビの　あの　ＮＨＫのね　のど自慢〔大会〕を　見ていますか？お昼に　やるのを
0335309|Ｃ|アリョー　ミヌキヨ|あれを　見続けているんですよ
0335310|Ｂ|ニチヨー|日『曜』
0335311|Ｃ|アリョー　タノシミヨ　イッシューカンネー　マズ　ホント　ニチヨーニ　タノシミ　ワシャー　ハイ　シロートノドジマントネー　アノー　カゾクウタカ゜ッセンヨ　アリョー　ミナンダコターナイヨー　マイシュー|あれを　楽しみなんですよ　一週『間』ね　まず　本当　日『曜』に　楽しみ　私は　もう　しろうとのど自慢とね　あの　家族歌合戦ね　あれを　見なかったことはないよ　毎週
0335402|Ｙ|アーユー　シロウトノネー　ウタッテ　ナカニャー　オバーサントカ　オジーサンカ゜ネー|あゝいう　しろうとのね　歌って　なかには　おばあさんとか　おじいさんがね
0335404|Ｃ|ソーヨ|そうですよ
0335405|Ｙ|イッショーケンメー　ナッテ　ウタウナー　ホントニ　ミトルト|一生懸命に　なって　歌うのは　本当に　みていると…
0335406|Ｃ|オモシロイネ　オモシロイヨー　ホント　（Ｂ　イマノ　ニチヨーニモ）|おもしろいね　おもしろいよ　本当　（Ｂ　今の　日『曜』にも）
0335407|Ｂ|ハチジューニダカニ　ナルヒトカ゜　ウタッテ　ワカイ　フーオシテ　ウタッタゾー　ハチジューニダ　オドロイタッタナー　カオツキカ゜　ワカスキ゜テ　マー　ウタウ|八十二かに　なる人が　歌って　若い　恰好をして　歌ったぞ　八十二だ　驚いたなあ　顔つきが　若すぎて　まあ　歌う…
